int_z1_b2,int_z1_b3,int_z6_b0,int_z6_b1,norm_z1_b0,norm_z1_b2,norm_z1_b3,norm_z6_b0,norm_z6_b1,max_z1_b2,max_z1_b3,max_z3_b4,max_z6_b0,max_z6_b1,y
6.993350854571502,7.23620383889194,3.93953573425961,6.019997284556645,4.171700057000357,6.642500374756771,6.91677828735138,4.211814574173794,5.753432477236937,6.231523908341193,6.501614130642684,6.543215187431025,2.720593528248377,5.191708581348946,1
7.196804547851597,7.06881041945315,3.985960856306431,6.276135430868701,4.196095788413619,6.777395082089369,6.773636323707428,4.027947082302985,5.9053005615578495,6.509041802326308,6.339066934931772,6.6525025813352485,2.927429555941541,5.474024280621192,1
7.073802282238368,6.687605064659754,4.156373252878574,6.253439678958701,3.922462621691927,6.70243024868152,6.460464390402539,4.185016078678975,5.950812053831321,6.275807922425185,5.922797479431202,7.07319885209792,3.2921867526947035,5.417245782789424,1
7.115185202983316,7.01176783334979,4.049701465614114,6.39702628540959,4.025609619183687,6.730553087113132,6.706216518723737,4.07109179523916,6.035979081040004,6.33094184217474,6.236400823949506,6.789445271920143,3.134809492184768,5.5245423470198185,1
7.5479412556032734,7.273818394760407,4.291494073052853,6.704328610457585,4.022469538217942,7.075786605501077,6.993318461321548,4.1435533471955805,6.254744389151329,6.89906294679993,6.586268296197681,6.660875200850609,3.428354846042217,5.811852877263189,1
7.445034229288774,7.122135673961491,4.375141794941933,6.560074241154823,4.013421867204675,6.975611638437846,6.824777047706665,4.117696418259564,6.138115599846603,6.603096002908129,6.473486068211081,6.551059234095335,3.5327963695815123,5.659607999816844,1
7.55903125227936,7.117120706639465,4.26018533941437,6.510353077223058,3.969561917645664,7.07019705955047,6.818899841404018,4.034807415785718,6.07504880885141,6.839500878131939,6.434396907783133,6.63171119497046,3.30561094147244,5.688300595903133,1
7.279724078304524,6.891070655653627,3.887556577824442,6.251607598307189,3.992120678782279,6.824021196509603,6.59264758570792,3.8019020482737496,5.850551502252435,6.5341937348589045,6.159610377096679,6.64374419416218,2.883893170407088,5.38727564241812,1
7.452195535777844,7.426243301722368,4.293335385616257,6.440715279797373,4.0485418603086885,6.979944984743884,7.096947127790735,4.017300464047965,6.030400291119497,6.769027021530938,6.748614140159115,6.685672108868528,3.1394923084496966,5.679453573075605,1
7.039447177183172,7.897916570423328,2.846141064375713,5.037824140769885,4.858397037406039,6.955681162201116,7.594985317016008,3.550549886507851,5.136768335773186,6.011897223708078,7.081486372933288,7.199879436083075,2.104593649925368,4.033762978006706,1
7.309740815663324,8.259012834700819,4.205648171901108,5.280537977766161,5.220086993494173,7.109676733709911,7.968529618488236,4.915564628249402,5.438042620813884,6.2553663018453385,7.557699805537206,7.362935300258855,3.311118171133566,4.015723169771431,1
7.099862777425391,7.908859665800228,3.620957034258402,5.181459073703212,4.623924912601997,6.857300463541051,7.586763196294884,4.339385680967176,5.271958915619995,6.030672935778767,7.201924504031743,7.357939076499029,2.811777418016322,4.226425238632732,1
6.894658431054868,7.584691444342481,2.626501018391271,4.816715253405299,4.362087846181461,6.799065761158054,7.271865205289426,3.250946946632104,4.919476701799378,5.875323438965163,6.787039434269312,6.718537586299169,1.6954814378217309,3.712182645141767,1
6.934189459008139,7.720248194998702,3.258237731248798,5.102497611271353,4.537342502038924,6.812141676214833,7.413503845466649,3.519140000215298,5.133071927226301,6.003562699304374,6.956353483694305,7.372363136353206,2.130317916005987,3.9950332716243033,1
7.031517260380895,7.62886184664245,2.6343555412971416,5.198919308653301,4.439039063476696,6.915136810850142,7.323651320880321,3.370899151931583,5.12416368611024,6.05335007803309,6.850228769772425,7.08920548458019,1.7257052804608897,4.077521150489746,1
7.137119879432044,7.494055439470854,2.583059043753578,4.954049543084275,4.440464616365234,6.906680275678334,7.213464068054516,3.3005882100071444,5.030021559003116,6.04475998625604,6.776177334278096,7.078816882075468,1.6498014278454318,3.871786236714412,1
6.952213331863171,7.7788396933742145,2.7665370008153016,5.031775197814482,4.508377975779093,6.865840269735,7.490617428659539,3.417762391043695,5.074346351245289,5.967578631145101,7.059966893932736,7.098279188304277,1.9568319840757529,4.037940657620948,1
6.94443564876143,7.886046150521452,3.5087948816962857,4.81181945837707,4.549739017517397,6.858619982728129,7.5811152596553155,3.753100202208026,5.016802759558983,5.924281663583384,7.059933241401825,7.148539578911,2.380282329232573,3.760510837413019,1
7.235117135178863,8.16078223202295,3.221913594662102,5.193830905374247,4.6635003766926815,7.107072725269075,7.852472222133881,3.939783135292774,5.305021224786841,6.110253817334438,7.361014426571994,7.323838457259985,2.436771933778942,3.902407219438682,1
7.060908338289404,8.155172941449926,2.904492915668911,4.838107537546836,4.497615972881764,6.894068823666653,7.856079186570201,3.697071061342868,5.137843356208672,6.03520060217343,7.375479777948286,7.0896203921032965,2.1142908784644385,3.9336105139637527,1
7.263031818095998,8.510716467293065,3.235334594235085,4.887908612910328,4.712220553695027,7.1401379569079255,8.211059722785711,3.919763054383592,5.325701354018594,6.151461641767268,7.757705763417582,7.289564441971223,2.4570801261922863,3.984123348408017,1
6.894257056923829,8.178064876544187,3.4854885907318947,5.29926559072575,4.69427245189794,6.840901684957437,7.866130335255886,4.012322341647969,5.447552463814281,5.78980337104746,7.392473344892526,7.240059907630307,2.4893752641777205,4.211637840380051,1
6.79242082617953,7.839356222175816,3.1848381715446368,4.962304833471746,4.674320916879123,6.740387419866338,7.529090402746697,3.98857974822164,5.233348414246595,5.701691055765133,7.173167122174174,7.378252103237608,2.2894801304543924,3.957313662695359,1
6.865420857909953,7.905880283543506,3.5116452527556823,4.899138609272982,4.593948613730052,6.781119764408862,7.625049052799854,3.871804425186297,5.314408520208167,5.729245619673767,7.175622048886509,7.532281135931152,2.408712345350092,3.996333537642744,1
6.768573714309459,7.601258933038799,3.6771923814204057,5.565313606102528,4.192920153561337,6.493432330834048,7.315403314871108,3.7914299244446448,5.424561750455445,5.832570720532063,6.946907442610472,7.133816737031619,2.476565775805496,4.6929147396234585,1
6.879994343084329,7.606079261002254,3.91592080616466,5.955443100342015,3.948364219903685,6.688024053929207,7.345834148732015,3.877359671170789,5.745890750936263,5.745473134746001,6.976858788879684,7.088402257368656,2.54585875835374,5.0876703658760185,1
6.683914810457791,7.2864625365599425,4.084180728000453,5.984918149226852,3.9563071144797815,6.441429758989826,6.988595311285693,3.892858913238699,5.691173509207703,5.655597565515406,6.551085740999775,6.691490935152637,2.8443069903537888,5.172309308037569,1
6.8688768946059575,7.336937760876309,4.112839571832052,6.047339820688098,3.95503442741472,6.606105975067562,7.037397828014059,3.926426676763573,5.793774583477124,5.8202898308046,6.55552791453653,6.829590156297088,2.7657524181595714,5.139149301434035,1
6.707801028953539,7.351056395202164,3.835541344242716,6.078693794914168,3.866480666265996,6.434257316750806,7.067400023603247,3.752632166773709,5.730342804153031,5.747467846265456,6.656116457271058,7.265670932414618,2.59488189315217,5.075288631029936,1
6.771379898222685,7.459543978026307,4.413952937788402,6.564121943621196,3.957073000419367,6.491419003244479,7.15829487808442,4.10928374792916,6.140227750310319,5.788002985362237,6.663671967264485,7.540209010589048,3.045776232663713,5.585523213256614,1
6.848981708565336,7.289990329124423,2.2490400376918376,4.074698118648268,3.726295043295235,6.707810436147565,7.112884180183664,3.0052198614491727,4.302628498424866,6.142369565427929,6.4951343494033065,9.820210600144843,1.3697158722061529,3.134523069921782,1
7.337807466926698,7.627377108708282,2.8760256364470203,4.4289314279172665,3.6338265733585073,7.141388002003632,7.480462299998922,3.071961649530293,4.520875037472891,6.716938314354628,6.771183764845303,9.117877015029878,1.6048262935071125,3.294331895671214,1
6.621283993709039,7.589019667718824,2.5868577242860824,3.96334700181688,3.7812568449317454,6.507785186040791,7.324184910465641,3.058983429937882,4.277931056390834,5.75785563880561,6.707940540326603,8.475403015957696,1.552328796731288,3.0364613682513784,1
6.812866250284763,7.7253171105439,2.583462021784537,4.185714426226141,3.780706318941789,6.738750787826871,7.449523629824693,3.1155946989215866,4.515252005995172,5.981222456167682,6.958818364989006,8.690070387965116,1.596434208232283,3.146979408763472,1
6.583781377284232,7.3656759423721665,2.592463628400548,4.090099647531378,3.629574132165306,6.45110161272516,7.1674543585489765,3.039577647155762,4.307767354311331,5.830435918554376,6.392875121006387,8.124944125190401,1.5941621271631012,3.24107778357087,1
6.539001481568616,7.358912888132958,2.8895588404482098,4.178916459677253,3.5696248032871707,6.425763600493592,7.0829792835179815,3.035292547146085,4.358329248498386,5.694463163133621,6.585861632395351,8.594498592379871,1.7597361570439127,3.181487513871426,1
6.683339116845084,7.263195564603451,2.324241499773004,3.784762286509961,3.454159254179526,6.566428590332894,7.089551507215109,2.8166838195809736,4.152773099086526,5.944764824920398,6.279472227249392,8.236396022384408,1.2128353219559602,2.7808365612919625,1
